POIID,POIName,Telno,Address,X,Y,Yunlin_Town,Source,FaxNo,OP_DAY,OP_TIME,SpecialStore_Kind,廁所,ANKER,ATM,BEAMS DESIGN,BEAMS DESIGN專區,CITY系列熱燕麥飲,EC自助取件,K·Seren,Mister Donut甜甜圈,OPEN Bar,OPEN iECO循環杯,OPEN! PLAZA專櫃,OPEN! STORE,Watts均一價59元,gogoro,ibon,ibon WiFi,不可思議咖啡,停車場,冷凍交貨便,千禧血壓站,博客來,原賞熱壓土司,哈燒,嚴選素材冷凍鮮物,天素地蔬,天素地蔬複合店,寵物生活專區,座位區,思樂冰,所長茶葉蛋,拋棄式隱形眼鏡,特選咖啡,現烤地瓜,現萃茶,現蒸地瓜,瓜地馬拉豆,甜點專櫃,生鮮蔬菜,精品咖啡,精品威士忌咖啡,精品秤重散糖,糖果屋,美妝,自助微波,茶BAR(多元複合),蒸玉米,蒸食機,藥商執照(快篩試劑),行動電源租賃,超值酒藏,酷聖石霜淇淋,雪淋霜霜淇淋,霹靂DVD,饗喫鍋,高效智慧回收機,黃金滷蛋,Store_URL
259644,林厝,(05)7721008,雲林縣四湖鄉文化路55號,120.177853,23.671376,四湖鄉,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,
128254,欣怡,(05)5960866,雲林縣斗南鎮南昌里中山路79號,120.478996,23.675563,斗南鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5963372,,24H,,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,
185486,欣苑,(05)5330314,雲林縣斗六市莊敬路345號1樓,120.545492,23.703135,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5361335,,07:00 ~ 21:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,
110297,油車,(05)5981135,雲林縣二崙鄉油車村文化路9號1樓,120.389714,23.795051,二崙鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5985302,,24H,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,
953445,虎大,(05)6364442,雲林縣虎尾鎮工專路156號,120.425102,23.703127,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6361247,,24H,,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,
234863,虎尾永聖,(05)6322725,雲林縣虎尾鎮廉使里永興南七路79號,120.419865,23.726131,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,
184380,虎欣,(05)6323746,雲林縣虎尾鎮林森路一段287.289.293號,120.437574,23.713237,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,
110839,虎威,(05)6326392,雲林縣虎尾鎮光復路122號1樓及成和街2號1樓,120.446785649354,23.7095332671797,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6326514,,24H,,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,
196383,虎真,(05)6312626,雲林縣虎尾鎮穎川里頂南398號,120.41735,23.692126,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6325352,,24H,,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,
261544,虎高,(05)6629672,雲林縣虎尾鎮延平里3鄰中南34之26號,120.405853,23.681236,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6629692,,24H,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,
210133,虎爺,(05)6325991,雲林縣虎尾鎮學府路39號,120.428011,23.735566,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6321572,,06:00 ~ 23:59,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,
